# SAMPLE
kakao_place_id,place_name,latitude,longitude,phone,address,kakao_map_url,group_name
26338954,샘플_스타벅스 강남점,37.4979,127.0276,02-0000-0000,서울 강남구 샘플로 1,https://place.map.kakao.com/26338954,카페
26338953,샘플_감성 카페,37.4985,127.0281,02-1111-1111,서울 강남구 샘플로 2,https://place.map.kakao.com/26338953,카페
73753737,샘플_전시 공간,37.4991,127.0290,02-2222-2222,서울 강남구 샘플로 3,https://place.map.kakao.com/73753737,전시
87778373,샘플_도서관,37.5002,127.0301,02-3333-3333,서울 강남구 샘플로 4,https://place.map.kakao.com/87778373,도서관
75373753,샘플_루프탑 카페,37.5010,127.0312,02-4444-4444,서울 강남구 샘플로 5,https://place.map.kakao.com/75373753,카페
57753735,샘플_공원 광장,37.5021,127.0323,02-5555-5555,서울 강남구 샘플로 6,https://place.map.kakao.com/57753735,공원
86533235,샘플_팝업스토어,37.5032,127.0334,02-6666-6666,서울 강남구 샘플로 7,https://place.map.kakao.com/86533235,팝업
27247972,샘플_축제 부스,37.5043,127.0345,02-7777-7777,서울 강남구 샘플로 8,https://place.map.kakao.com/27247972,축제
22787687,샘플_복합문화공간,37.5054,127.0356,02-8888-8888,서울 강남구 샘플로 9,https://place.map.kakao.com/22787687,문화공간
972437375,샘플_야외 공연장,37.5065,127.0367,02-9999-9999,서울 강남구 샘플로 10,https://place.map.kakao.com/972437375,공연장
